Level,Expression,Value,Location,Refresh
0,"I2S2_Rx_Buffer__Big",,0x000AEC64,"1 Hz"
 1,"[0]",204,0x000AEC64,"1 Hz"
 1,"[1]",205,0x000AEC66,"1 Hz"
 1,"[2]",206,0x000AEC68,"1 Hz"
 1,"[3]",207,0x000AEC6A,"1 Hz"
 1,"[4]",208,0x000AEC6C,"1 Hz"
 1,"[5]",209,0x000AEC6E,"1 Hz"
 1,"[6]",210,0x000AEC70,"1 Hz"
 1,"[7]",211,0x000AEC72,"1 Hz"
 1,"[8]",212,0x000AEC74,"1 Hz"
 1,"[9]",213,0x000AEC76,"1 Hz"
 1,"[10]",214,0x000AEC78,"1 Hz"
 1,"[11]",215,0x000AEC7A,"1 Hz"
 1,"[12]",216,0x000AEC7C,"1 Hz"
 1,"[13]",217,0x000AEC7E,"1 Hz"
 1,"[14]",218,0x000AEC80,"1 Hz"
 1,"[15]",219,0x000AEC82,"1 Hz"
 1,"[16]",220,0x000AEC84,"1 Hz"
 1,"[17]",221,0x000AEC86,"1 Hz"
 1,"[18]",222,0x000AEC88,"1 Hz"
 1,"[19]",223,0x000AEC8A,"1 Hz"
 1,"[20]",224,0x000AEC8C,"1 Hz"
 1,"[21]",225,0x000AEC8E,"1 Hz"
 1,"[22]",226,0x000AEC90,"1 Hz"
 1,"[23]",227,0x000AEC92,"1 Hz"
 1,"[24]",228,0x000AEC94,"1 Hz"
 1,"[25]",229,0x000AEC96,"1 Hz"
 1,"[26]",230,0x000AEC98,"1 Hz"
 1,"[27]",231,0x000AEC9A,"1 Hz"
 1,"[28]",232,0x000AEC9C,"1 Hz"
 1,"[29]",233,0x000AEC9E,"1 Hz"
 1,"[30]",234,0x000AECA0,"1 Hz"
 1,"[31]",235,0x000AECA2,"1 Hz"
 1,"[32]",236,0x000AECA4,"1 Hz"
 1,"[33]",237,0x000AECA6,"1 Hz"
 1,"[34]",238,0x000AECA8,"1 Hz"
 1,"[35]",239,0x000AECAA,"1 Hz"
 1,"[36]",240,0x000AECAC,"1 Hz"
 1,"[37]",241,0x000AECAE,"1 Hz"
 1,"[38]",242,0x000AECB0,"1 Hz"
 1,"[39]",243,0x000AECB2,"1 Hz"
 1,"[40]",244,0x000AECB4,"1 Hz"
 1,"[41]",245,0x000AECB6,"1 Hz"
 1,"[42]",246,0x000AECB8,"1 Hz"
 1,"[43]",247,0x000AECBA,"1 Hz"
 1,"[44]",248,0x000AECBC,"1 Hz"
 1,"[45]",249,0x000AECBE,"1 Hz"
 1,"[46]",250,0x000AECC0,"1 Hz"
 1,"[47]",251,0x000AECC2,"1 Hz"
 1,"[48]",252,0x000AECC4,"1 Hz"
 1,"[49]",253,0x000AECC6,"1 Hz"
 1,"[50]",254,0x000AECC8,"1 Hz"
 1,"[51]",255,0x000AECCA,"1 Hz"
 1,"[52]",256,0x000AECCC,"1 Hz"
 1,"[53]",257,0x000AECCE,"1 Hz"
 1,"[54]",258,0x000AECD0,"1 Hz"
 1,"[55]",259,0x000AECD2,"1 Hz"
 1,"[56]",260,0x000AECD4,"1 Hz"
 1,"[57]",261,0x000AECD6,"1 Hz"
 1,"[58]",262,0x000AECD8,"1 Hz"
 1,"[59]",263,0x000AECDA,"1 Hz"
 1,"[60]",264,0x000AECDC,"1 Hz"
 1,"[61]",265,0x000AECDE,"1 Hz"
 1,"[62]",266,0x000AECE0,"1 Hz"
 1,"[63]",267,0x000AECE2,"1 Hz"
 1,"[64]",268,0x000AECE4,"1 Hz"
 1,"[65]",269,0x000AECE6,"1 Hz"
 1,"[66]",270,0x000AECE8,"1 Hz"
